Series_Title,Director,type
Das Boot,Wolfgang Petersen,DVD
Snatch,Guy Ritchie,DVD
Hiroshima mon amour,Alain Resnais,DVD
Love and Death,Woody Allen,DVD
Trainspotting,Danny Boyle,DVD
The King of Comedy,Martin Scorsese,DVD
The Graduate,Mike Nichols,DVD
Malcolm X,Spike Lee,DVD
La montaña sagrada,Alejandro Jodorowsky,DVD
Dog Day Afternoon,Sidney Lumet,DVD
Hell or High Water,David Mackenzie,DVD
Psycho,Alfred Hitchcock,DVD
Gran Torino,Clint Eastwood,DVD
Amadeus,Milos Forman,DVD
Cidade de Deus,Fernando Meirelles,DVD
Sound of Metal,Darius Marder,DVD
God's Own Country,Francis Lee,DVD
Hotaru no haka,Isao Takahata,DVD
The Lunchbox,Ritesh Batra,DVD
The Killing,Stanley Kubrick,DVD
Star Trek Into Darkness,J.J. Abrams,DVD
